duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
214706,False,{'spotify': 'https://open.spotify.com/track/58P060mo9WWgEAdDvf0Riz'},willow,1,spotify:track:58P060mo9WWgEAdDvf0Riz,evermore (deluxe version),0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,https://api.spotify.com/v1/audio-analysis/58P060mo9WWgEAdDvf0Riz
244000,False,{'spotify': 'https://open.spotify.com/track/0fVrVe7Vxd3nmbJDiuX4cv'},champagne problems,2,spotify:track:0fVrVe7Vxd3nmbJDiuX4cv,evermore (deluxe version),0.463,0.248,0,-12.036,1,0.0374,0.92,0.0,0.113,0.325,171.346,https://api.spotify.com/v1/audio-analysis/0fVrVe7Vxd3nmbJDiuX4cv
185320,False,{'spotify': 'https://open.spotify.com/track/4mPOHhdmdCePudiBDbAiPl'},gold rush,3,spotify:track:4mPOHhdmdCePudiBDbAiPl,evermore (deluxe version),0.498,0.471,9,-10.406,1,0.0411,0.811,0.113,0.121,0.351,112.018,https://api.spotify.com/v1/audio-analysis/4mPOHhdmdCePudiBDbAiPl
229840,False,{'spotify': 'https://open.spotify.com/track/6cpa32VdG5US2mYGNBbF9I'},‘tis the damn season,4,spotify:track:6cpa32VdG5US2mYGNBbF9I,evermore (deluxe version),0.575,0.435,5,-8.193,1,0.0311,0.737,5.38e-05,0.105,0.351,145.91,https://api.spotify.com/v1/audio-analysis/6cpa32VdG5US2mYGNBbF9I
245440,False,{'spotify': 'https://open.spotify.com/track/5U0MyuuCoOoniHLQFLazLF'},tolerate it,5,spotify:track:5U0MyuuCoOoniHLQFLazLF,evermore (deluxe version),0.373,0.36,9,-10.376,1,0.0387,0.878,1.54e-05,0.079,0.212,147.442,https://api.spotify.com/v1/audio-analysis/5U0MyuuCoOoniHLQFLazLF
215626,False,{'spotify': 'https://open.spotify.com/track/257CUonahBouFWEhouuLYQ'},"no body, no crime (feat. HAIM)",6,spotify:track:257CUonahBouFWEhouuLYQ,evermore (deluxe version),0.547,0.613,7,-7.577,0,0.0264,0.431,0.0,0.102,0.528,79.011,https://api.spotify.com/v1/audio-analysis/257CUonahBouFWEhouuLYQ
315146,False,{'spotify': 'https://open.spotify.com/track/7FDAG4nHExiYsHq6q7cmEn'},happiness,7,spotify:track:7FDAG4nHExiYsHq6q7cmEn,evermore (deluxe version),0.558,0.331,11,-10.649,1,0.0381,0.861,0.0,0.113,0.201,122.035,https://api.spotify.com/v1/audio-analysis/7FDAG4nHExiYsHq6q7cmEn
225880,False,{'spotify': 'https://open.spotify.com/track/25TmHz7flNEc2Knau9iFFL'},dorothea,8,spotify:track:25TmHz7flNEc2Knau9iFFL,evermore (deluxe version),0.607,0.488,4,-8.329,1,0.0264,0.694,0.0,0.129,0.361,119.953,https://api.spotify.com/v1/audio-analysis/25TmHz7flNEc2Knau9iFFL
275320,False,{'spotify': 'https://open.spotify.com/track/1ofQwiozMPRwf5g9MIjaHx'},coney island (feat. The National),9,spotify:track:1ofQwiozMPRwf5g9MIjaHx,evermore (deluxe version),0.529,0.536,8,-11.269,1,0.0627,0.826,0.00082,0.141,0.304,107.873,https://api.spotify.com/v1/audio-analysis/1ofQwiozMPRwf5g9MIjaHx
260440,False,{'spotify': 'https://open.spotify.com/track/3fs5SqsBJmczNrdMEn2hlr'},ivy,10,spotify:track:3fs5SqsBJmczNrdMEn2hlr,evermore (deluxe version),0.329,0.547,2,-9.514,1,0.0397,0.848,1.11e-05,0.088,0.522,86.629,https://api.spotify.com/v1/audio-analysis/3fs5SqsBJmczNrdMEn2hlr
